I

740 Version - made by https://simbad.u-strasbg.fr/simbad/sim-fid from Hipparcos data, for J2025 epoch, 2025 equinox, V-band brightness, all stars down to mag 6.5

 6.7708  -16.752 -1.46 Sirius
 6.4085  -52.710 -0.74 Canopus
14.2800   19.053 -0.05 Arcturus
14.6887  -60.937  0.01 Rigel Kentaurus
18.6298   38.808  0.03 Vega
 5.3090   46.021  0.08 Capella
 5.2623   -8.175  0.13 Rigel
 7.6768    5.159  0.37 Procyon
 5.9421    7.410  0.42 Betelgeuse
 1.6440  -57.110  0.46 Achernar
14.0935  -60.492  0.58 Hadar
19.8667    8.936  0.76 Altair
 4.6226   16.558  0.86 Aldebaran
16.5157  -26.485  0.91 Antares
13.4419  -11.291  0.97 Spica
 7.7807   27.964  1.14 Pollux
22.9838  -29.489  1.16 Fomalhaut
12.8200  -59.825  1.25 Mimosa
20.7047   45.371  1.25 Deneb
14.6884  -60.938  1.33 Toliman
10.1617   11.844  1.40 Regulus
 6.9935  -29.008  1.50 Adhara
 7.6032   31.831  1.58 Castor
17.5885  -37.120  1.63 Shaula
 5.4412    6.370  1.64 Bellatrix
12.5428  -57.253  1.64 Gacrux
 5.4646   28.626  1.65 Elnath
 5.6247   -1.188  1.69 Alnilam
 9.2244  -69.820  1.69 Miaplacidus
22.1633  -46.839  1.71 Alnair
 5.7004   -1.931  1.77 Alnitak
12.9187   55.825  1.77 Alioth
 3.4354   49.948  1.79 Mirfak
11.0875   61.616  1.79 Dubhe
18.4305  -34.370  1.81 Kaus Australis
 8.1717  -47.411  1.83 Regor
 7.1568  -26.434  1.84 Wezen
17.6520  -43.011  1.85 Sargas
 8.3837  -59.591  1.86 Avior
13.8087   49.189  1.86 Alkaid
16.8556  -69.070  1.88 Atria
 6.0227   44.947  1.90 Menkalinan
 6.6526   16.376  1.92 Alhena
20.4602  -56.653  1.92 Peacock
 8.7566  -54.801  1.95 del Vel
 6.3967  -17.970  1.97 Mirzam
 9.4803   -8.768  1.97 Alphard
 0.7474  -17.850  2.01 Diphda
 2.1431   23.579  2.01 Hamal
 3.0741   89.368  2.02 Polaris
 1.1857   35.752  2.05 Mirach
14.1360  -36.492  2.05 Menkent
 0.1614   29.228  2.06 Alpheratz
 5.8157   -9.663  2.06 Saiph
17.6016   12.544  2.07 Rasalhague
18.9469  -26.263  2.07 Nunki
14.8443   74.053  2.08 Kochab
